,FUND_ID,DATE_SCD,MAT_DATE,LONG_CUR_SCD,SHORT_CUR_SCD,MKT_RATE_SCD,CONTRACT_RATE,SPOT_RATE_SCD,NOTIONAL_SCD,SEC_TYPE_SCD,NAV_AGENT_SCD,DATE_RBC,LONG_CUR_RBC,SHORT_CUR_RBC,MKT_RATE_RBC,SPOT_RATE_RBC,NOTIONAL_RBC,SEC_TYPE_RBC,NAV_AGENT_RBC
0,7509,2020-06-02,2020-06-03,CAD,USD,0.7414234695334113,0.7200486754356001,0.7414272476058914,-14805731.0,FX Forward,RBC,,,,,,,,
1,7509,2020-06-02,2020-06-03,USD,CAD,0.7414234534115501,0.7100805,0.7414272601058693,184620.93,FX Forward,RBC,,,,,,,,
2,7509,2020-06-02,2020-06-03,CAD,USD,0.7414234502196421,0.7075293292682927,0.7414272557419757,-232069.62,FX Forward,RBC,,,,,,,,
3,7509,2020-06-02,2020-06-03,USD,CAD,0.7414234758070984,0.7234952925503906,0.7414272475077839,14853180.0,FX Forward,RBC,,,,,,,,
4,7509,2020-06-02,2020-07-06,CAD,USD,0.7413546906221822,0.7235214657791289,0.741427247607913,-15363903.0,FX Forward,RBC,,,,,,,,
5,619,2020-06-02,2020-06-17,CAD,USD,0.7413710729129874,0.7578628265730125,0.7414272474075824,-8165509.66,FX Forward,RBC,,,,,,,,
6,619,2020-06-02,2020-06-17,CAD,USD,0.7413710762255109,0.7579202664646056,0.7414272474075824,-8165509.66,FX Forward,RBC,,,,,,,,
7,619,2020-06-02,2020-06-17,CAD,USD,0.7413710827013726,0.7580351729711974,0.7414272475350111,-12319891.77,FX Forward,RBC,,,,,,,,
8,619,2020-06-02,2020-06-17,CAD,USD,0.7413710888714575,0.7581501138098753,0.7414272472533949,-11317109.88,FX Forward,RBC,,,,,,,,
9,619,2020-06-02,2020-06-17,CAD,USD,0.7413711210556259,0.7587253409140488,0.7414272481688834,-3438109.33,FX Forward,RBC,,,,,,,,
10,619,2020-06-02,2020-06-17,CAD,USD,0.7413711440679216,0.7591659800133151,0.7414272470161944,-4011127.55,FX Forward,RBC,,,,,,,,
11,619,2020-06-02,2020-06-17,CAD,USD,0.7413711331202396,0.7589556768809682,0.7414272472533949,-11317109.88,FX Forward,RBC,,,,,,,,
12,619,2020-06-02,2020-06-17,CAD,USD,0.7413711262246823,0.7588260958665102,0.7414272474075824,-8165509.66,FX Forward,RBC,,,,,,,,
13,619,2020-06-02,2020-06-17,CAD,USD,0.7413711302091043,0.7588836822211174,0.7414272473547161,-6187122.61,FX Forward,RBC,,,,,,,,
14,619,2020-06-02,2020-06-17,USD,CAD,0.7413702459077338,0.7428923771813177,0.7414272478071285,4790000.0,FX Forward,RBC,,,,,,,,
15,619,2020-06-02,2020-06-17,USD,CAD,0.7413692039726095,0.7240264559149121,0.7414272475908084,2168004.25,FX Forward,RBC,,,,,,,,
16,619,2020-06-02,2020-06-17,USD,CAD,0.7413691426796897,0.7229957482592378,0.7414272473519514,1106210.13,FX Forward,RBC,,,,,,,,
17,619,2020-06-02,2020-06-17,USD,CAD,0.7413691540829881,0.7231661948593076,0.7414272482185295,2212420.27,FX Forward,RBC,,,,,,,,
18,619,2020-06-02,2020-06-17,USD,CAD,0.7413691276966571,0.722700008115111,0.7414272473519514,2212420.26,FX Forward,RBC,,,,,,,,
19,619,2020-06-02,2020-06-17,USD,CAD,0.7413691063725844,0.722270413284716,0.7414272490084924,1659315.2,FX Forward,RBC,,,,,,,,
20,619,2020-06-02,2020-06-17,USD,CAD,0.7413691275371563,0.722661515588124,0.7414272478062739,2071629.89,FX Forward,RBC,,,,,,,,
21,619,2020-06-02,2020-06-17,CAD,USD,0.7413679906940887,0.702109135910748,0.741427247366925,-3418859.08,FX Forward,RBC,,,,,,,,
22,619,2020-06-02,2020-06-17,CAD,USD,0.7413679294879257,0.7010208968405538,0.741427247366925,-6837718.15,FX Forward,RBC,,,,,,,,
23,619,2020-06-02,2020-06-17,CAD,USD,0.7413679186380759,0.700809694769314,0.7414272472274299,-5493422.77,FX Forward,RBC,,,,,,,,
24,619,2020-06-02,2020-06-17,CAD,USD,0.7413683226397313,0.7081215164847149,0.7414272474271651,-5400000.0,FX Forward,RBC,,,,,,,,
25,619,2020-06-02,2020-06-17,CAD,USD,0.7413680630598527,0.703447547043589,0.7414272472965284,-6880000.0,FX Forward,RBC,,,,,,,,
26,619,2020-06-02,2020-06-17,USD,CAD,0.7413683949885879,0.7094295324304787,0.7414272473680737,7839812.48,FX Forward,RBC,,,,,,,,
27,619,2020-06-02,2020-06-17,USD,CAD,0.7413683874533422,0.7092939568928719,0.7414272473680737,7839812.48,FX Forward,RBC,,,,,,,,
28,619,2020-06-02,2020-06-17,USD,CAD,0.7413683856510831,0.7092590938570073,0.7414272473680737,7839812.48,FX Forward,RBC,,,,,,,,
29,619,2020-06-02,2020-06-17,USD,CAD,0.7413683725265743,0.7090162048833007,0.7414272476126249,7839812.49,FX Forward,RBC,,,,,,,,
30,619,2020-06-02,2020-06-17,USD,CAD,0.7413683713763521,0.7090056476838412,0.7414272472620139,5226541.66,FX Forward,RBC,,,,,,,,
31,619,2020-06-02,2020-06-17,USD,CAD,0.7413683446465676,0.7085178679046172,0.7414272473680737,7839812.48,FX Forward,RBC,,,,,,,,
32,619,2020-06-02,2020-06-17,USD,CAD,0.7413683630307936,0.7088403017812569,0.7414272483138467,2613270.83,FX Forward,RBC,,,,,,,,
33,619,2020-06-02,2020-06-17,USD,CAD,0.7413683471735644,0.7085680762618755,0.7414272473680737,7839812.48,FX Forward,RBC,,,,,,,,
34,619,2020-06-02,2020-06-17,USD,CAD,0.7413683577714875,0.7087649417840955,0.7414272473345422,8001312.62,FX Forward,RBC,,,,,,,,
35,619,2020-06-02,2020-06-17,USD,CAD,0.7413691762867065,0.7235890009732351,0.741427246724745,2562983.24,FX Forward,RBC,,,,,,,,
36,619,2020-06-02,2020-07-17,CAD,USD,0.7413463381707083,0.7236178002864885,0.7414272481271683,-2562983.24,FX Forward,RBC,,,,,,,,
37,619,2020-06-02,2020-06-17,USD,CAD,0.7413692543111248,0.7250054364275936,0.7414272471762039,2347713.96,FX Forward,RBC,,,,,,,,
38,619,2020-06-02,2020-07-17,CAD,USD,0.7413467669814376,0.7250343486724761,0.7414272476679974,-2347713.96,FX Forward,RBC,,,,,,,,
39,619,2020-06-02,2020-07-17,CAD,USD,0.7413465298575752,0.7242508889020571,0.7414272466673044,-2323203.1,FX Forward,RBC,,,,,,,,
40,619,2020-06-02,2020-06-17,USD,CAD,0.7413692117193342,0.72421784483606,0.7414272467917313,2323203.1,FX Forward,RBC,,,,,,,,
41,619,2020-06-02,2020-06-17,USD,CAD,0.7413692075124846,0.7241129623912029,0.7414272475158262,3197068.49,FX Forward,RBC,,,,,,,,
42,619,2020-06-02,2020-07-17,CAD,USD,0.7413464965026648,0.7241470445179712,0.7414272477265367,-3197068.49,FX Forward,RBC,,,,,,,,
43,619,2020-06-02,2020-07-17,CAD,USD,0.741346331412987,0.723617799490689,0.7414272453522163,-1172258.44,FX Forward,RBC,,,,,,,,
44,619,2020-06-02,2020-06-17,USD,CAD,0.7413691808199838,0.7235890032694815,0.7414272497844303,1172258.44,FX Forward,RBC,,,,,,,,
45,619,2020-06-02,2020-06-17,USD,CAD,0.7413691860666486,0.7237199207225613,0.7414272482212233,3516775.33,FX Forward,RBC,,,,,,,,
46,619,2020-06-02,2020-07-17,CAD,USD,0.7413463750318241,0.723751347347557,0.7414272469158123,-3516775.33,FX Forward,RBC,,,,,,,,
47,619,2020-06-02,2020-07-17,CAD,USD,0.7413463377521067,0.7236256533224652,0.7414272474611163,-3516775.34,FX Forward,RBC,,,,,,,,
48,619,2020-06-02,2020-06-17,USD,CAD,0.7413691772460674,0.7235890014293124,0.7414272472031848,3516775.34,FX Forward,RBC,,,,,,,,
49,619,2020-06-02,2020-06-17,USD,CAD,0.7413691783363271,0.7235890017879479,0.7414272472927741,3380222.1,FX Forward,RBC,,,,,,,,
